Date,LQD
2017-04-26,85.53834533691406
2017-04-27,85.61758422851562
2017-04-28,85.71842956542969
2017-05-01,85.45263671875
2017-05-02,85.7054443359375
2017-05-03,85.66207122802734
2017-05-04,85.49596405029297
2017-05-05,85.52484130859375
2017-05-08,85.37316131591797
2017-05-09,85.38758087158203
2017-05-10,85.5031967163086
2017-05-11,85.5464859008789
2017-05-12,85.97991180419922
2017-05-15,85.97273254394531
2017-05-16,86.09551239013672
2017-05-17,86.62284088134766
2017-05-18,86.60838317871094
2017-05-19,86.65894317626953
2017-05-22,86.5866928100586
2017-05-23,86.31941986083984
2017-05-24,86.45672607421875
2017-05-25,86.49278259277344
2017-05-26,86.55783081054688
2017-05-30,86.76005554199219
2017-05-31,86.8611831665039
2017-06-01,86.87999725341797
2017-06-02,87.28559875488281
2017-06-05,87.03935241699219
2017-06-06,87.29283142089844
2017-06-07,87.1841812133789
2017-06-08,87.03208923339844
2017-06-09,86.94520568847656
2017-06-12,86.96691131591797
2017-06-13,87.06106567382812
2017-06-14,87.65496063232422
2017-06-15,87.4449234008789
2017-06-16,87.517333984375
2017-06-19,87.40872955322266
2017-06-20,87.6042709350586
2017-06-21,87.64767456054688
2017-06-22,87.72015380859375
2017-06-23,87.76358795166016
2017-06-26,87.92291259765625
2017-06-27,87.52457427978516
2017-06-28,87.61878967285156
2017-06-29,87.35072326660156
2017-06-30,87.27832794189453
2017-07-03,87.08951568603516
2017-07-05,87.23474884033203
2017-07-06,87.00965118408203
2017-07-07,86.93704223632812
2017-07-10,87.08231353759766
2017-07-11,87.11859893798828
2017-07-12,87.50342559814453
2017-07-13,87.35095977783203
2017-07-14,87.5543212890625
2017-07-17,87.6341781616211
2017-07-18,88.01180267333984
2017-07-19,87.98271179199219
2017-07-20,88.06261444091797
2017-07-21,88.26596069335938
2017-07-24,88.16426849365234
2017-07-25,87.64144897460938
2017-07-26,87.9319076538086
2017-07-27,87.71401977539062
2017-07-28,87.9464340209961
2017-07-31,87.9464340209961
2017-08-01,88.26529693603516
2017-08-02,88.12699127197266
2017-08-03,88.25079345703125
