Date,XLF
2017-08-29,20.7616024017334
2017-08-30,20.846107482910156
2017-08-31,20.8714542388916
2017-09-01,20.93060874938965
2017-09-05,20.482757568359375
2017-09-06,20.5334529876709
2017-09-07,20.178556442260742
2017-09-08,20.36445426940918
2017-09-11,20.7193546295166
2017-09-12,20.964406967163086
2017-09-13,20.99820899963379
2017-09-14,20.955957412719727
2017-09-15,21.017898559570312
2017-09-18,21.263967514038086
2017-09-19,21.425189971923828
2017-09-20,21.55246353149414
2017-09-21,21.603378295898438
2017-09-22,21.577924728393555
2017-09-25,21.55246353149414
2017-09-26,21.543981552124023
2017-09-27,21.807024002075195
2017-09-28,21.840961456298828
2017-09-29,21.94278907775879
2017-10-02,22.129465103149414
2017-10-03,22.205835342407227
2017-10-04,22.104013442993164
2017-10-05,22.333110809326172
2017-10-06,22.358562469482422
2017-10-09,22.273712158203125
2017-10-10,22.37553596496582
2017-10-11,22.333110809326172
2017-10-12,22.16341209411621
2017-10-13,22.171890258789062
2017-10-16,22.316133499145508
2017-10-17,22.205835342407227
2017-10-18,22.324621200561523
2017-10-19,22.341598510742188
2017-10-20,22.604639053344727
2017-10-23,22.58766746520996
2017-10-24,22.74888801574707
2017-10-25,22.613121032714844
2017-10-26,22.74040412902832
2017-10-27,22.723430633544922
2017-10-30,22.630090713500977
2017-10-31,22.570695877075195
2017-11-01,22.604639053344727
2017-11-02,22.8167667388916
2017-11-03,22.723430633544922
2017-11-06,22.697975158691406
2017-11-07,22.384021759033203
2017-11-08,22.273712158203125
2017-11-09,22.197345733642578
2017-11-10,22.129465103149414
2017-11-13,22.16341209411621
2017-11-14,22.154918670654297
2017-11-15,22.214319229125977
2017-11-16,22.222801208496094
2017-11-17,22.197345733642578
2017-11-20,22.299165725708008
2017-11-21,22.367053985595703
2017-11-22,22.256746292114258
2017-11-24,22.248258590698242
2017-11-27,22.23128318786621
2017-11-28,22.808286666870117
2017-11-29,23.198606491088867
2017-11-30,23.35133171081543
2017-12-01,23.402252197265625
2017-12-04,23.758628845214844
2017-12-05,23.63134765625
2017-12-06,23.54649543762207
2017-12-07,23.622865676879883
2017-12-08,23.767118453979492
2017-12-11,23.707714080810547
