Date,IWM
2018-03-07,141.11175537109375
2018-03-08,140.82363891601562
2018-03-09,143.07435607910156
2018-03-12,143.32644653320312
2018-03-13,142.6602783203125
2018-03-14,141.98501586914062
2018-03-15,141.2737579345703
2018-03-16,142.0660400390625
2018-03-19,140.6975860595703
2018-03-20,140.66162109375
2018-03-21,141.48086547851562
2018-03-22,138.3784942626953
2018-03-23,135.4006805419922
2018-03-26,138.36045837402344
2018-03-27,135.680419921875
2018-03-28,135.63526916503906
2018-03-29,137.0069122314453
2018-04-02,133.66812133789062
2018-04-03,135.58114624023438
2018-04-04,137.30470275878906
2018-04-05,138.44166564941406
2018-04-06,135.680419921875
2018-04-09,135.8428192138672
2018-04-10,138.4055633544922
2018-04-11,138.70335388183594
2018-04-12,139.6508331298828
2018-04-13,138.919921875
2018-04-16,140.2013397216797
2018-04-17,141.72628784179688
2018-04-18,142.10528564453125
2018-04-19,141.12168884277344
2018-04-20,140.36373901367188
2018-04-23,140.1562042236328
2018-04-24,139.35308837890625
2018-04-25,139.1455078125
2018-04-26,139.78619384765625
2018-04-27,139.58770751953125
2018-04-30,138.35145568847656
2018-05-01,139.0282440185547
2018-05-02,139.5515899658203
2018-05-03,138.79359436035156
2018-05-04,140.52613830566406
2018-05-07,141.71730041503906
2018-05-08,142.42115783691406
2018-05-09,143.1881103515625
2018-05-10,143.95521545410156
2018-05-11,144.23487854003906
2018-05-14,143.68447875976562
2018-05-15,143.7115020751953
2018-05-16,145.20945739746094
2018-05-17,145.87721252441406
2018-05-18,146.06668090820312
2018-05-21,147.03228759765625
2018-05-22,145.96743774414062
2018-05-23,146.15695190429688
2018-05-24,146.2111053466797
2018-05-25,145.94940185546875
2018-05-29,145.75086975097656
2018-05-30,148.0609588623047
2018-05-31,146.8788299560547
2018-06-01,147.84434509277344
2018-06-04,148.62939453125
2018-06-05,149.54986572265625
2018-06-06,150.63270568847656
2018-06-07,149.8115692138672
2018-06-08,150.26272583007812
2018-06-11,150.4883270263672
2018-06-12,151.174072265625
2018-06-13,150.57855224609375
2018-06-14,151.38165283203125
2018-06-15,151.4267578125
2018-06-18,152.13963317871094
2018-06-19,152.148681640625
2018-06-20,153.37588500976562
2018-06-21,151.941162109375
2018-06-22,151.43582153320312
2018-06-25,148.9633026123047
2018-06-26,149.82957458496094
2018-06-27,147.42930603027344
2018-06-28,147.88047790527344
2018-06-29,147.78118896484375
2018-07-02,148.80088806152344
2018-07-03,149.3941192626953
2018-07-05,151.09669494628906
2018-07-06,152.37362670898438
2018-07-09,153.33363342285156
2018-07-10,152.63623046875
2018-07-11,151.34120178222656
2018-07-12,152.0747833251953
2018-07-13,151.6219482421875
2018-07-16,151.0332794189453
2018-07-17,151.7034454345703
2018-07-18,152.12908935546875
2018-07-19,153.20680236816406
2018-07-20,152.5819091796875
2018-07-23,152.77212524414062
2018-07-24,151.14195251464844
2018-07-25,151.6944122314453
2018-07-26,152.50949096679688
2018-07-27,149.66575622558594
2018-07-30,148.70579528808594
2018-07-31,150.2181854248047
2018-08-01,150.11856079101562
2018-08-02,151.21446228027344
2018-08-03,150.68910217285156
2018-08-06,151.53140258789062
2018-08-07,151.8936309814453
2018-08-08,151.75779724121094
2018-08-09,152.14723205566406
2018-08-10,151.72157287597656
2018-08-13,150.83401489257812
2018-08-14,152.32833862304688
2018-08-15,150.41744995117188
2018-08-16,151.81211853027344
2018-08-17,152.46414184570312
2018-08-20,152.8898468017578
2018-08-21,154.646728515625
2018-08-22,155.0271453857422
2018-08-23,154.55621337890625
2018-08-24,155.39845275878906
2018-08-27,155.62486267089844
2018-08-28,155.769775390625
2018-08-29,156.22259521484375
2018-08-30,156.09576416015625
2018-08-31,156.69351196289062
2018-09-04,155.99618530273438
2018-09-05,155.57960510253906
2018-09-06,154.52908325195312
2018-09-07,154.44747924804688
2018-09-10,154.63771057128906
2018-09-11,154.89132690429688
2018-09-12,154.5199737548828
2018-09-13,154.55621337890625
2018-09-14,155.208251953125
2018-09-17,153.55999755859375
2018-09-18,154.20298767089844
2018-09-19,153.6415252685547
2018-09-20,155.0634002685547
2018-09-21,154.32073974609375
2018-09-24,153.75018310546875
2018-09-25,153.98565673828125
2018-09-26,152.5782470703125
2018-09-27,152.5872802734375
2018-09-28,153.05038452148438
2018-10-01,151.03453063964844
2018-10-02,149.4000244140625
2018-10-03,150.7076416015625
2018-10-04,148.59185791015625
2018-10-05,147.24798583984375
2018-10-08,146.9392547607422
2018-10-09,146.3671875
2018-10-10,142.16299438476562
2018-10-11,139.44790649414062
2018-10-12,139.47520446777344
2018-10-15,139.9927520751953
2018-10-16,144.05166625976562
2018-10-17,143.4342041015625
2018-10-18,140.7463836669922
2018-10-19,139.25721740722656
2018-10-22,138.95755004882812
2018-10-23,137.7135772705078
2018-10-24,132.5286407470703
2018-10-25,135.3980712890625
2018-10-26,133.91795349121094
2018-10-29,133.1824188232422
2018-10-30,135.9610137939453
2018-10-31,136.2334747314453
2018-11-01,139.3752899169922
2018-11-02,139.83834838867188
2018-11-05,139.72943115234375
2018-11-06,140.4195556640625
2018-11-07,142.93482971191406
2018-11-08,142.55343627929688
2018-11-09,139.91099548339844
2018-11-12,137.14146423339844
2018-11-13,136.7056121826172
